Birth Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
0.012,8.420021279663963,3.7135578697211664,94.87567567567568,7.962067308753666,21.840848204477627,0.069,3.828641396489095,5.713958861886928,0.030529205034822874,0.0,0.2207406666978994,75.0,68.0,0.0,1,0.219,0.656,0.125,15.301265791017167,0.526,18.488339401771974,18.675322970077882
0.008,10.60821739433914,3.7135578697211664,94.87567567567568,9.502487461387123,25.868829171723412,0.06416951983298538,6.687603594123967,5.713958861886928,0.032286158705474306,0.3,0.09075436326846414,84.0,78.0,0.8,1,0.173,0.717,0.11,15.712380661632444,1.0,22.82715605915054,23.24915446853602
0.026,13.986656566966568,3.7135578697211664,94.87567567567568,13.032874023673804,26.889962596070145,0.043,3.044522437723423,5.713958861886928,0.06485097231961631,0.0,0.11600367575630613,63.0,61.0,0.0,1,0.342,0.614,0.044,20.764658956983435,0.277,22.003643972752684,22.027807696465338
0.022,12.481504995553038,3.7135578697211664,94.87567567567568,11.94968896168544,25.82933864978753,0.02,2.772588722239781,5.713958861886928,0.04018178963283183,0.0,0.1697427745870945,69.0,65.0,0.0,1,0.307,0.647,0.047,19.157551460686307,0.42,22.327691207757972,21.885478707336908
0.009,14.01402529465298,3.7135578697211664,94.87567567567568,13.159591722494447,29.185199724012126,0.076,7.949797216161852,5.713958861886928,0.002995508979798479,0.3,0.020782539182528505,85.0,78.0,0.5,1,0.146,0.682,0.172,18.658673505998866,0.786,22.510012764518425,24.476128970825346
0.015,11.757987051585369,3.7135578697211664,94.87567567567568,10.482345586693945,23.62972912994961,0.042,3.970291913552122,5.713958861886928,0.037295784743696894,0.0,0.13811071861565868,71.0,60.0,0.0,1,0.277,0.655,0.068,16.515772307667014,0.557,19.814447122392348,19.99552721368724
0.018,11.247656987355347,3.7135578697211664,94.87567567567568,9.889287203134987,26.29866191722371,0.06416951983298538,6.687603594123967,5.713958861886928,0.04401688541677432,0.23974713551955748,0.13811071861565868,69.0,61.0,0.5781237682301931,1,0.26,0.681,0.059,16.94403383762432,0.594,22.320493557319537,22.27707153912607
0.013,13.011570354586263,3.7135578697211664,94.87567567567568,12.14505857288761,27.05411451524435,0.043,6.198478716492308,5.713958861886928,0.004987541511039074,0.4,0.08157998699242287,80.0,72.0,0.6,1,0.21,0.717,0.073,17.665830740526083,0.796,22.8665034368236,22.795808637060954
0.02,8.41847721847708,3.7135578697211664,94.87567567567568,7.748460023899697,21.037851701868938,0.047,2.639057329615259,5.713958861886928,0.04114194333117518,0.0,0.4180126979162183,72.0,65.0,0.0,1,0.35,0.596,0.055,15.404419383294154,0.353,16.811242881518265,17.147715103853763
0.031,6.880384082186005,3.7135578697211664,94.87567567567568,11.254644782971518,21.272079504633343,0.033,2.4849066497880004,5.713958861886928,0.07973496801885356,0.0,0.2776317365982795,63.0,60.0,0.0,1,0.435,0.529,0.036,15.499737153672845,0.22,18.5517090151307,15.894952224644102
0.009,7.400009517162692,3.7135578697211664,94.87567567567568,11.254644782971518,22.53184881730093,0.06416951983298538,6.687603594123967,5.713958861886928,0.032286158705474306,0.1,0.09440067542148431,80.0,75.0,0.3,1,0.228,0.698,0.074,12.975967881583452,1.0,21.887977927631056,22.27707153912607
0.023,11.748819383769703,3.7135578697211664,94.87567567567568,10.760261798384528,25.264318465819144,0.03,4.795790545596741,5.713958861886928,0.008959741371471904,0.2,0.07417939817425151,75.0,71.0,0.2,1,0.333,0.628,0.038,16.969133024926634,0.62,22.493631413657063,21.65661032377963
0.025,6.214608098422191,3.7135578697211664,94.87567567567568,11.254644782971518,20.252201076900473,0.071,5.093750200806762,5.713958861886928,0.0344014267173324,0.0,0.12221763272424921,70.0,69.0,0.0,1,0.413,0.549,0.038,12.516296238143232,0.277,19.586951684209556,17.909855136853043
0.019,8.923591197573002,3.7135578697211664,94.87567567567568,7.7823903355874595,20.851567722126624,0.047,3.1354942159291497,5.713958861886928,0.04783732941416013,0.0,0.31481073984003355,66.0,60.0,0.1,1,0.348,0.615,0.037,14.689926241051104,0.571,17.57671069691365,17.804494623047066
0.021,9.219201000408379,3.7135578697211664,94.87567567567568,9.460476328353995,26.29866191722371,0.021,1.3862943611198906,5.713958861886928,0.0573250666192694,0.23974713551955748,0.14236724128692196,64.0,60.0,0.0,1,0.307,0.645,0.047,17.69610483452732,0.27,19.088510121656228,17.216707972959764
0.033,8.081784206935001,3.7135578697211664,94.87567567567568,9.000729834944558,22.426968329827208,0.05,2.5649493574615367,5.713958861886928,0.058268908123975775,0.0,0.09075436326846414,63.0,61.0,0.0,1,0.404,0.558,0.038,16.95898062122189,0.134,19.204582292346984,18.50685844936773
0.031,11.575430670321625,3.7135578697211664,94.87567567567568,11.067700298288187,25.026687141490154,0.03,2.772588722239781,5.713958861886928,0.08434114843375087,0.23974713551955748,0.13811071861565868,65.0,63.0,0.0,1,0.415,0.546,0.039,18.7841566140766,0.332,20.12724536893207,20.168139956026
0.03,11.202425022437767,3.7135578697211664,94.87567567567568,10.593454682089442,25.11803956464303,0.032,3.5263605246161616,5.713958861886928,0.0295588022415444,0.0,0.10345870836822998,70.0,64.0,0.1,1,0.385,0.583,0.032,18.16774591925229,0.48,21.570849371239223,21.333574739740534
0.012,10.79971842403251,3.7135578697211664,94.87567567567568,9.835904401212332,25.28590393151086,0.027,6.4967749901858625,5.713958861886928,0.002995508979798479,0.4,0.05638033343610764,80.0,76.0,0.7,1,0.215,0.712,0.073,15.208755954564227,1.0,22.360707945984586,22.235090920734017
0.018,9.226410552153677,3.7135578697211664,94.87567567567568,9.027378610294805,23.516319363334585,0.037,3.4965075614664802,5.713958861886928,0.013902905168991422,0.0,0.1501426584297195,75.0,68.0,0.0,1,0.269,0.669,0.063,16.765303651927358,0.184,19.776515900164867,19.763545549755886
0.03,7.71333788887187,3.7135578697211664,94.87567567567568,7.673223121121708,20.573082620484225,0.046,1.9459101490553132,5.713958861886928,0.07232066157962612,0.0,0.22793206804600694,68.0,60.0,0.0,1,0.429,0.536,0.035,15.63782396518996,0.265,22.320493557319537,22.27707153912607
0.015,12.14608906820081,3.7135578697211664,94.87567567567568,11.188371917742543,25.5332139352792,0.034,4.219507705176107,5.713958861886928,0.01882175424058776,0.0,0.07510747248680541,75.0,67.0,0.0,1,0.242,0.693,0.066,17.948168049633807,0.314,23.019329713050844,21.892025885827355
0.043,11.865749759016373,3.7135578697211664,94.87567567567568,11.254644782971518,19.673729388781222,0.051,2.995732273553991,5.713958861886928,0.08065790301745447,0.23974713551955748,0.13811071861565868,61.0,58.0,0.5781237682301931,1,0.498,0.479,0.024,13.657201577710532,0.243,22.320493557319537,22.27707153912607
0.024,10.473506185614923,3.7135578697211664,94.87567567567568,9.60723552940128,21.78958307799231,0.039,3.8066624897703196,5.713958861886928,0.0639133257436528,0.0,0.13811071861565868,68.0,60.0,0.0,1,0.363,0.594,0.043,15.31990346051892,0.459,22.320493557319537,22.27707153912607
0.021,11.694846941742844,3.7135578697211664,94.87567567567568,10.83482451994885,23.345058884851614,0.053,3.4011973816621555,5.713958861886928,0.05164323315183845,0.0,0.13811071861565868,70.0,64.0,0.0,1,0.373,0.584,0.043,17.020303726069134,0.374,17.958645300228824,22.27707153912607
0.017,10.890162187963373,3.7135578697211664,94.87567567567568,10.265940770051001,24.238984220472407,0.053,3.044522437723423,5.713958861886928,0.02664193094642118,0.0,0.10074990310014305,78.0,69.0,0.0,1,0.316,0.62,0.064,18.167476114652267,0.244,22.320493557319537,22.27707153912607
0.019,8.014004994779459,3.7135578697211664,94.87567567567568,7.475339236566737,22.02798385756223,0.064,4.2626798770413155,5.713958861886928,0.02273948696948943,0.0,0.19967019512856762,77.0,71.0,0.0,1,0.303,0.628,0.068,14.94336703628178,0.417,19.801962565761276,19.48539148439307
0.011,6.263398262591624,3.7135578697211664,94.87567567567568,11.254644782971518,20.848703321088962,0.062,7.193685818395112,5.713958861886928,0.003992021269537453,0.1,0.13811071861565868,71.15926791277259,66.46183800623054,0.4,1,0.3030511272141707,0.6234814814814815,0.07346457326892109,11.08827753744529,0.924,22.320493557319537,22.27707153912607
0.01,11.061892744689834,3.7135578697211664,94.87567567567568,10.259727401834914,25.981129630447626,0.1,7.784889295655098,5.713958861886928,0.004987541511039074,0.3,0.13811071861565868,81.0,75.0,0.8,1,0.17,0.675,0.155,15.89639693037332,0.658,23.1552989972152,22.669318833084308
0.009,10.886876027942778,3.7135578697211664,94.87567567567568,10.114396566181995,23.267765713002134,0.061,4.174387269895637,5.713958861886928,0.010939940038334364,0.0,0.4180126979162183,75.0,63.0,0.0,1,0.186,0.679,0.134,16.11859562594999,0.7,19.05195252611337,19.324898898640836
